"V1","V2"
"HYPOVOLEMIA","LVEDVOLUME"
"HYPOVOLEMIA","STROKEVOLUME"
"LVEDVOLUME","CVP"
"LVEDVOLUME","PCWP"
"LVFAILURE","HISTORY"
"LVFAILURE","LVEDVOLUME"
"LVFAILURE","STROKEVOLUME"
"STROKEVOLUME","CO"
"ERRLOWOUTPUT","HRBP"
"ERRCAUTER","HREKG"
"ERRCAUTER","HRSAT"
"TPR","ANAPHYLAXIS"
"TPR","CATECHOL"
"TPR","BP"
"KINKEDTUBE","PRESS"
"FIO2","PVSAT"
"PVSAT","SAO2"
"PULMEMBOLUS","PAP"
"PULMEMBOLUS","SHUNT"
"SHUNT","SAO2"
"INTUBATION","MINVOL"
"INTUBATION","SHUNT"
"INTUBATION","PRESS"
"INTUBATION","VENTLUNG"
"INTUBATION","VENTALV"
"DISCONNECT","VENTTUBE"
"VENTMACH","MINVOLSET"
"VENTMACH","VENTTUBE"
"VENTTUBE","PRESS"
"VENTTUBE","VENTLUNG"
"VENTLUNG","EXPCO2"
"VENTLUNG","KINKEDTUBE"
"VENTLUNG","MINVOL"
"VENTLUNG","VENTALV"
"VENTALV","PVSAT"
"VENTALV","ARTCO2"
"ARTCO2","EXPCO2"
"ARTCO2","CATECHOL"
"CATECHOL","HR"
"HR","HRBP"
"HR","HREKG"
"HR","HRSAT"
"HR","CO"
"CO","BP"
