V1,V2
CVP,PCWP
CVP,LVEDVOLUME
PCWP,HYPOVOLEMIA
LVEDVOLUME,HISTORY
LVEDVOLUME,PCWP
LVEDVOLUME,HYPOVOLEMIA
LVEDVOLUME,LVFAILURE
STROKEVOLUME,CVP
STROKEVOLUME,HYPOVOLEMIA
STROKEVOLUME,LVEDVOLUME
STROKEVOLUME,LVFAILURE
STROKEVOLUME,CO
HRBP,TPR
HRBP,CATECHOL
HRBP,HR
HRBP,CO
HREKG,HRBP
HREKG,HRSAT
HREKG,CATECHOL
HREKG,HR
HREKG,CO
ERRCAUTER,HREKG
HRSAT,HRBP
HRSAT,CATECHOL
HRSAT,HR
HRSAT,CO
TPR,CATECHOL
TPR,BP
EXPCO2,VENTLUNG
MINVOL,SHUNT
MINVOL,INTUBATION
MINVOL,VENTALV
PVSAT,MINVOL
PVSAT,DISCONNECT
PVSAT,VENTTUBE
PVSAT,VENTLUNG
PVSAT,VENTALV
PVSAT,ARTCO2
SAO2,PVSAT
SHUNT,INTUBATION
MINVOLSET,VENTMACH
VENTMACH,SAO2
VENTMACH,VENTTUBE
VENTTUBE,PRESS
VENTLUNG,MINVOL
VENTLUNG,VENTALV
VENTALV,SHUNT
VENTALV,INTUBATION
VENTALV,ARTCO2
ARTCO2,VENTTUBE
ARTCO2,CATECHOL
HR,CO
CO,BP
