"V1","V2"
"8","4"
"8","61"
"8","93"
"8","126"
"8","209"
"8","211"
"8","219"
"8","248"
"8","281"
"8","299"
"8","363"
"8","460"
"8","480"
"8","558"
"8","565"
"8","585"
"8","661"
"8","666"
"8","686"
"8","699"
"8","738"
"8","758"
"8","786"
"13","665"
"20","573"
"26","198"
"26","234"
"26","603"
"26","781"
"26","783"
"47","479"
"47","714"
"47","736"
"61","81"
"61","480"
"61","570"
"61","712"
"78","100"
"81","108"
"81","144"
"81","198"
"81","248"
"81","368"
"81","377"
"81","570"
"81","636"
"81","665"
"81","666"
"81","712"
"81","793"
"86","181"
"86","686"
"86","738"
"93","539"
"100","245"
"100","296"
"111","8"
"111","20"
"111","81"
"111","377"
"111","496"
"111","537"
"111","570"
"126","96"
"126","101"
"126","135"
"126","161"
"126","187"
"126","256"
"126","342"
"126","412"
"126","519"
"126","539"
"126","554"
"126","558"
"126","629"
"126","640"
"126","712"
"126","739"
"126","783"
"126","798"
"155","480"
"198","63"
"198","596"
"198","779"
"209","299"
"219","576"
"248","554"
"269","558"
"272","108"
"272","726"
"289","414"
"289","452"
"289","560"
"289","726"
"331","13"
"331","714"
"360","539"
"360","686"
"377","226"
"378","101"
"378","296"
"378","570"
"412","100"
"414","47"
"414","331"
"422","13"
"422","331"
"422","570"
"422","627"
"422","714"
"422","736"
"443","13"
"443","101"
"443","226"
"443","565"
"444","63"
"444","299"
"452","272"
"452","414"
"452","714"
"452","726"
"479","331"
"519","328"
"537","211"
"539","4"
"539","197"
"539","585"
"539","596"
"539","758"
"539","778"
"558","96"
"558","161"
"558","256"
"558","342"
"558","363"
"560","78"
"560","272"
"560","422"
"560","627"
"560","726"
"560","793"
"565","4"
"565","547"
"570","38"
"570","135"
"570","219"
"570","234"
"570","256"
"570","460"
"570","464"
"570","554"
"570","576"
"570","585"
"570","598"
"570","623"
"570","651"
"570","699"
"573","226"
"573","443"
"598","412"
"600","443"
"600","573"
"603","108"
"603","414"
"603","452"
"622","81"
"623","342"
"627","281"
"627","661"
"627","736"
"629","47"
"629","422"
"629","479"
"629","714"
"629","793"
"640","86"
"640","666"
"640","783"
"679","155"
"699","600"
"714","677"
"726","78"
"726","108"
"726","414"
"726","627"
"738","63"
"738","209"
"738","444"
"738","540"
"738","627"
"738","636"
"739","558"
"767","81"
"767","111"
"767","360"
"767","570"
"767","622"
"779","63"
"779","444"
"779","540"
"779","596"
"781","20"
"781","603"
"783","181"
"783","187"
"783","269"
"783","454"
"783","547"
"783","679"
"783","781"
"786","26"
"786","38"
"786","81"
"786","144"
"786","155"
"786","181"
"786","209"
"786","245"
"786","269"
"786","272"
"786","289"
"786","328"
"786","360"
"786","368"
"786","378"
"786","414"
"786","443"
"786","454"
"786","496"
"786","537"
"786","576"
"786","600"
"786","623"
"786","665"
"786","677"
"786","679"
"786","726"
"786","779"
"786","781"
"786","793"
"793","452"
"793","479"
"793","651"
"798","779"
