jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
JB_8,state1,x1___375_,x45_60,x0,Cereals,x15_30,x60_75,x_2,x30_40,x45_60,x60_75,x120_135,x60_75,x60_75,x80_100,x_26_3,x137_5_162_5,x51_60,Give,x4,worked_in_solil,x_22_5,x45_60,x105_120,x150_170,x44_46,x325_375,x85_90,x15_17,x_99_1_00,x85_90,x275_325,x6,x350_450,x17_19,x25_35,x_1050,x1,x_98,x9_5_10_0,x40_50,x9_10,x42_5_45,x0_1,x0_1,x0_5,x3_0_3_5
JB_2,state4,x3___500_,x15_30,x0,Cer_rotation,x0_15,x15_30,x_2,x40_50,x15_30,x90_105,x135_150,x120_135,x90_105,x40_60,x26_3_10_4,x87_5_112_5,x61_70,Teal,x3,Placed,x_22_5,x90_105,x105_120,x170_190,x55_60,x275_325,x93_95,x15_17,x_99_1_00,x94_95,x275_325,x4,x750_950,x17_19,x_35,x750_850,x1,x90_95,x10_5_11_0,x65_70,x9_10,x40_42_5,x3_5,x0_1,x5_10,x3_0_3_5
JB_4,state1,x2__375_500_,x30_45,x_15,Cer_rotation,x15_30,x75_90,x_2,x40_50,x45_60,x60_75,x135_150,x60_75,x60_75,x80_100,x26_3_10_4,x87_5_112_5,x_70,Maud,x2,worked_in_solil,x37_5_47_5,x45_60,x135_150,x50_70,x55_60,x_175,x97_98,x15_17,x_99_1_00,x97_98,x_175,x5,x650_750,x21_23,x5_10,x850_950,x2,x_85,x_9,x60_65,x9_10,x40_42_5,x3_5,x1_5,x10_15,x4_5_5_0
JB_6,state1,x2__375_500_,x30_45,x_15,Beets,x90_105,x_120,x_2,x50_60,x45_60,x75_90,x135_150,x_45,x_45,x120_140,x21_4_26_4,x187_5_212_5,x41_50,Evelyn,x3,worked_in_solil,x37_5_47_5,x_45,x165_180,x50_70,x50_55,x_175,x98_99,x_15,x_99_1_00,x98__99,x_175,x8,x450_550,x19_21,x0_5,x750_850,x0,x_85,x_12_0,x30_40,x9_10,x45_47_5,x3_5,x1_5,x15_20,x4_5_5_0
Jb_1_,state2,x1___375_,x0_15,x25,Cer_rotation,x15_30,x0_15,x_2,x30_40,x0_15,x105_120,x120_135,x120_135,x105_120,x_40,x11_4_20_4,x37_5_62_5,x_25,Digger,x3,worked_in_solil,x32_5_37_5,x90_105,x90_105,x210_230,x30_35,x_450,x93_95,x_15,x_99_1_00,x94_95,x375_425,x5,x_350,x13_15,x15_25,x750_850,x3,x_98,x_9,x_30,x9_10,x42_5_45,x1_2,x0_1,x0_5,x3_0_3_5
Jb_7,state1,x2__375_500_,x45_60,x5,Cereals,x15_30,x60_75,x_2,x50_60,x45_60,x90_105,x150_165,x75_90,x75_90,x80_100,x_26_3,x162_5_187_5,x61_70,Baracuda,x4,Top_dressed,x_22_5,x75_90,x135_150,x90_110,x50_55,x175_225,x97_98,x17_19,x93__95,x90_93,x175_225,x5,x550_650,x19_21,x10_15,x750_850,x2,x90_95,x10_5_11_0,x40_50,x9_10,x42_5_45,x3_5,x1_5,x10_15,x4_0_4_5
JB_8,state0,x3___500_,x45_60,x10,Clovergrass,x15_30,x60_75,x_2,x40_50,x30_45,x60_75,x120_135,x60_75,x60_75,x80_100,x_26_4,x137_5_162_5,x41_50,Marina,x4,Placed,x27_5_32_5,x60_75,x120_135,x110_130,x35_40,x275_325,x95_97,x_15,x_99_1_00,x95_97,x275_325,x6,x350_450,x15_17,x25_35,x750_850,x2,x95_98,x_12_0,x30_40,x9_10,x40_42_5,x3_5,x0_1,x0_5,x3_5_4_0
JB_5,state1,x1___375_,x30_45,x_10,Cer_rotation,x15_30,x60_75,x_2,x40_50,x45_60,x60_75,x135_150,x75_90,x60_75,x80_100,x11_4_20_4,x137_5_162_5,x51_60,andre,x6,worked_in_solil,x_22_5,x60_75,x120_135,x70_90,x30_35,x225_275,x99_100,x15_17,x_99_1_00,x99_100,x225_275,x3,x750_950,x15_17,x_35,x750_850,x0,x90_95,x11_0_11_5,x65_70,x9_10,x35_40,x3_5,x0_1,x0_5,x3_0_3_5
JB_6,state0,x2__375_500_,x30_45,x_10,Other,x45_60,x90_105,x_2,x50_60,x45_60,x75_90,x135_150,x45_60,x45_60,x100_120,x_26_4,x162_5_187_5,x51_60,Derkado,x4,Top_dressed,x27_5_32_5,x_45,x120_135,x190_210,x30_35,x_450,x_80,x_15,x_99_1_00,x75_80,x325_375,x5,x750_950,x17_19,x0_5,x750_850,x1,x90_95,x_12_0,x65_70,x9_10,x45_47_5,x3_5,x0_1,x5_10,x_5_0
JB_6,state0,x3___500_,x30_45,x_10,Other,x_105,x_120,x_2,x50_60,x45_60,x75_90,x120_135,x_45,x_45,x120_140,x26_3_10_4,x187_5_212_5,x61_70,Reggae,x2,Top_dressed,x27_5_32_5,x_45,x150_165,x90_110,x55_60,x_175,x99_100,x19_21,x_98__99,x98__99,x_175,x5,x450_550,x17_19,x25_35,x850_950,x2,x95_98,x11_0_11_5,x40_50,x9_10,x40_42_5,x2_3,x0_1,x0_5,x3_5_4_0
