"V1","V2"
"HypDistrib","LowerBodyO2"
"HypoxiaInO2","LowerBodyO2"
"HypoxiaInO2","RUQO2"
"CO2","CO2Report"
"ChestXray","XrayReport"
"Grunting","GruntingReport"
"Disease","BirthAsphyxia"
"Disease","Age"
"Disease","LVH"
"Disease","DuctFlow"
"Disease","CardiacMixing"
"Disease","LungFlow"
"Disease","Sick"
"LVH","LVHreport"
"DuctFlow","HypDistrib"
"CardiacMixing","HypDistrib"
"CardiacMixing","HypoxiaInO2"
"LungParench","HypoxiaInO2"
"LungParench","CO2"
"LungParench","ChestXray"
"LungParench","Grunting"
"LungParench","Disease"
"LungFlow","ChestXray"
"Sick","Grunting"
"Sick","Age"
