"V1","V2"
"HypoxiaInO2","LowerBodyO2"
"HypoxiaInO2","RUQO2"
"CO2","CO2Report"
"ChestXray","XrayReport"
"ChestXray","LungParench"
"LVHreport","LVH"
"Disease","Age"
"Disease","LVH"
"Disease","CardiacMixing"
"GruntingReport","Grunting"
"Age","Sick"
"DuctFlow","HypoxiaInO2"
"DuctFlow","LVHreport"
"DuctFlow","Disease"
"DuctFlow","CardiacMixing"
"CardiacMixing","HypoxiaInO2"
"LungParench","CO2"
"LungParench","Grunting"
"LungParench","GruntingReport"
"LungFlow","HypoxiaInO2"
"LungFlow","ChestXray"
"LungFlow","XrayReport"
"LungFlow","Disease"
"LungFlow","DuctFlow"
"LungFlow","CardiacMixing"
