"V1","V2"
"ins_sens","activ_ins_0"
"ins_sens","activ_ins_6"
"ins_sens","activ_ins_11"
"ins_sens","activ_ins_23"
"cho_0","cho_init"
"cho_0","meal_0"
"bg_0","renal_cl_0"
"bg_0","ins_indep_util_0"
"activ_ins_0","ins_abs_0"
"activ_ins_0","ins_dep_0"
"gut_abs_0","cho_0"
"ins_indep_0","bg_0"
"ins_indep_0","ins_indep_util_0"
"ins_dep_0","ins_dep_util_0"
"ins_dep_0","glu_prod_0"
"ins_dep_0","endo_bal_0"
"endo_bal_0","ins_indep_0"
"endo_bal_0","basal_bal_0"
"cho_bal_0","cho_0"
"cho_bal_0","gut_abs_0"
"basal_bal_0","tot_bal_0"
"basal_bal_0","bg_1"
"met_irr_0","tot_bal_0"
"cho_1","cho_bal_0"
"cho_1","meal_1"
"cho_1","gut_abs_1"
"bg_1","renal_cl_1"
"bg_1","ins_indep_util_1"
"activ_ins_1","ins_abs_1"
"activ_ins_1","ins_dep_1"
"renal_cl_1","bg_0"
"renal_cl_1","ins_indep_1"
"ins_indep_util_1","ins_indep_1"
"ins_indep_1","met_irr_0"
"ins_dep_1","ins_dep_util_1"
"ins_dep_1","glu_prod_1"
"ins_dep_1","endo_bal_1"
"endo_bal_1","basal_bal_1"
"cho_bal_1","cho_1"
"cho_bal_1","gut_abs_1"
"basal_bal_1","tot_bal_1"
"met_irr_1","tot_bal_1"
"cho_2","cho_bal_1"
"cho_2","gut_abs_2"
"bg_2","activ_ins_1"
"bg_2","renal_cl_2"
"bg_2","ins_indep_util_2"
"activ_ins_2","ins_abs_2"
"activ_ins_2","ins_dep_2"
"renal_cl_2","ins_indep_2"
"ins_indep_util_2","ins_indep_2"
"ins_indep_2","met_irr_1"
"ins_dep_2","ins_dep_util_2"
"ins_dep_2","glu_prod_2"
"ins_dep_2","endo_bal_2"
"endo_bal_2","basal_bal_2"
"cho_bal_2","meal_2"
"cho_bal_2","cho_2"
"cho_bal_2","gut_abs_2"
"basal_bal_2","tot_bal_2"
"met_irr_2","tot_bal_2"
"cho_3","cho_bal_2"
"bg_3","bg_2"
"bg_3","activ_ins_2"
"bg_3","renal_cl_3"
"bg_3","ins_indep_util_3"
"activ_ins_3","ins_abs_3"
"gut_abs_3","cho_3"
"renal_cl_3","met_irr_2"
"renal_cl_3","ins_indep_3"
"ins_indep_util_3","ins_indep_3"
"ins_indep_3","endo_bal_3"
"ins_dep_3","activ_ins_3"
"ins_dep_3","ins_dep_util_3"
"ins_dep_3","glu_prod_3"
"endo_bal_3","ins_dep_3"
"endo_bal_3","basal_bal_3"
"cho_bal_3","meal_3"
"cho_bal_3","cho_3"
"cho_bal_3","gut_abs_3"
"basal_bal_3","tot_bal_3"
"met_irr_3","tot_bal_3"
"cho_4","cho_bal_3"
"bg_4","bg_3"
"bg_4","renal_cl_4"
"bg_4","ins_indep_util_4"
"activ_ins_4","ins_abs_4"
"activ_ins_4","ins_dep_4"
"gut_abs_4","cho_4"
"renal_cl_4","met_irr_3"
"renal_cl_4","ins_indep_4"
"ins_indep_util_4","ins_indep_4"
"ins_dep_4","ins_dep_util_4"
"ins_dep_4","glu_prod_4"
"ins_dep_4","endo_bal_4"
"endo_bal_4","basal_bal_4"
"cho_bal_4","meal_4"
"cho_bal_4","cho_4"
"cho_bal_4","gut_abs_4"
"basal_bal_4","tot_bal_4"
"met_irr_4","tot_bal_4"
"cho_5","cho_bal_4"
"cho_5","cho_bal_5"
"bg_5","bg_4"
"bg_5","activ_ins_4"
"bg_5","renal_cl_5"
"bg_5","ins_indep_util_5"
"activ_ins_5","ins_abs_5"
"activ_ins_5","ins_dep_5"
"gut_abs_5","cho_5"
"gut_abs_5","cho_bal_5"
"renal_cl_5","ins_indep_5"
"ins_indep_util_5","ins_indep_5"
"ins_indep_5","met_irr_4"
"ins_dep_5","ins_dep_util_5"
"ins_dep_5","glu_prod_5"
"ins_dep_5","endo_bal_5"
"endo_bal_5","basal_bal_5"
"cho_bal_5","meal_5"
"cho_bal_5","cho_6"
"basal_bal_5","tot_bal_5"
"met_irr_5","tot_bal_5"
"cho_6","gut_abs_6"
"cho_6","cho_bal_6"
"bg_6","bg_5"
"bg_6","activ_ins_5"
"bg_6","gut_abs_5"
"bg_6","renal_cl_6"
"bg_6","ins_indep_util_6"
"activ_ins_6","ins_abs_6"
"activ_ins_6","ins_dep_6"
"activ_ins_6","bg_7"
"renal_cl_6","met_irr_5"
"renal_cl_6","ins_indep_6"
"ins_indep_util_6","ins_indep_6"
"ins_dep_6","ins_dep_util_6"
"ins_dep_6","glu_prod_6"
"ins_dep_6","endo_bal_6"
"endo_bal_6","basal_bal_6"
"cho_bal_6","meal_6"
"cho_bal_6","gut_abs_6"
"cho_bal_6","cho_7"
"basal_bal_6","tot_bal_6"
"met_irr_6","tot_bal_6"
"cho_7","gut_abs_7"
"cho_7","cho_bal_7"
"bg_7","bg_6"
"bg_7","renal_cl_7"
"bg_7","ins_indep_util_7"
"bg_7","bg_8"
"activ_ins_7","ins_abs_7"
"renal_cl_7","ins_indep_7"
"ins_indep_util_7","ins_indep_7"
"ins_indep_7","met_irr_6"
"ins_indep_7","endo_bal_7"
"ins_dep_7","activ_ins_7"
"ins_dep_7","ins_dep_util_7"
"ins_dep_7","glu_prod_7"
"endo_bal_7","ins_dep_7"
"endo_bal_7","basal_bal_7"
"cho_bal_7","meal_7"
"cho_bal_7","gut_abs_7"
"cho_bal_7","cho_8"
"basal_bal_7","tot_bal_7"
"met_irr_7","tot_bal_7"
"cho_8","gut_abs_8"
"cho_8","cho_bal_8"
"bg_8","renal_cl_8"
"bg_8","ins_indep_util_8"
"bg_8","bg_9"
"activ_ins_8","ins_abs_8"
"activ_ins_8","ins_dep_8"
"gut_abs_8","cho_bal_8"
"renal_cl_8","met_irr_7"
"renal_cl_8","ins_indep_8"
"ins_indep_util_8","ins_indep_8"
"ins_dep_8","ins_dep_util_8"
"ins_dep_8","glu_prod_8"
"ins_dep_8","endo_bal_8"
"endo_bal_8","basal_bal_8"
"cho_bal_8","meal_8"
"cho_bal_8","cho_bal_9"
"basal_bal_8","tot_bal_8"
"met_irr_8","tot_bal_8"
"cho_9","gut_abs_9"
"bg_9","activ_ins_8"
"bg_9","renal_cl_9"
"bg_9","ins_indep_util_9"
"bg_9","ins_indep_9"
"activ_ins_9","ins_abs_9"
"ins_indep_9","met_irr_8"
"ins_indep_9","ins_indep_util_9"
"ins_indep_9","endo_bal_9"
"ins_dep_9","activ_ins_9"
"ins_dep_9","ins_dep_util_9"
"ins_dep_9","glu_prod_9"
"endo_bal_9","ins_dep_9"
"endo_bal_9","basal_bal_9"
"cho_bal_9","meal_9"
"cho_bal_9","cho_9"
"cho_bal_9","gut_abs_9"
"cho_bal_9","cho_10"
"basal_bal_9","tot_bal_9"
"met_irr_9","tot_bal_9"
"tot_bal_9","bg_10"
"cho_10","gut_abs_10"
"cho_10","cho_bal_10"
"bg_10","renal_cl_10"
"bg_10","ins_indep_util_10"
"activ_ins_10","ins_abs_10"
"activ_ins_10","ins_dep_10"
"renal_cl_10","ins_indep_10"
"ins_indep_util_10","ins_indep_10"
"ins_dep_10","ins_dep_util_10"
"ins_dep_10","glu_prod_10"
"ins_dep_10","endo_bal_10"
"endo_bal_10","basal_bal_10"
"cho_bal_10","meal_10"
"cho_bal_10","gut_abs_10"
"cho_bal_10","cho_11"
"basal_bal_10","tot_bal_10"
"met_irr_10","tot_bal_10"
"cho_11","gut_abs_11"
"cho_11","cho_bal_11"
"bg_11","activ_ins_10"
"bg_11","renal_cl_11"
"bg_11","ins_indep_util_11"
"activ_ins_11","ins_abs_11"
"activ_ins_11","ins_dep_11"
"activ_ins_11","bg_12"
"renal_cl_11","met_irr_10"
"renal_cl_11","ins_indep_11"
"ins_indep_util_11","ins_indep_11"
"ins_dep_11","ins_dep_util_11"
"ins_dep_11","glu_prod_11"
"ins_dep_11","endo_bal_11"
"endo_bal_11","basal_bal_11"
"cho_bal_11","meal_11"
"cho_bal_11","gut_abs_11"
"basal_bal_11","tot_bal_11"
"met_irr_11","tot_bal_11"
"bg_12","bg_11"
"bg_12","renal_cl_12"
"bg_12","ins_indep_util_12"
"bg_12","bg_13"
"activ_ins_12","ins_abs_12"
"activ_ins_12","ins_dep_12"
"gut_abs_12","cho_12"
"renal_cl_12","met_irr_11"
"renal_cl_12","ins_indep_12"
"ins_indep_util_12","ins_indep_12"
"ins_dep_12","ins_dep_util_12"
"ins_dep_12","glu_prod_12"
"ins_dep_12","endo_bal_12"
"endo_bal_12","basal_bal_12"
"cho_bal_12","meal_12"
"cho_bal_12","cho_12"
"cho_bal_12","gut_abs_12"
"basal_bal_12","tot_bal_12"
"met_irr_12","tot_bal_12"
"cho_13","cho_bal_12"
"bg_13","activ_ins_12"
"bg_13","renal_cl_13"
"bg_13","ins_indep_util_13"
"bg_13","bg_14"
"activ_ins_13","ins_abs_13"
"activ_ins_13","ins_dep_13"
"gut_abs_13","cho_13"
"renal_cl_13","met_irr_12"
"renal_cl_13","ins_indep_13"
"ins_indep_util_13","ins_indep_13"
"ins_dep_13","ins_dep_util_13"
"ins_dep_13","glu_prod_13"
"ins_dep_13","endo_bal_13"
"endo_bal_13","basal_bal_13"
"cho_bal_13","meal_13"
"cho_bal_13","cho_13"
"cho_bal_13","gut_abs_13"
"basal_bal_13","tot_bal_13"
"met_irr_13","tot_bal_13"
"cho_14","cho_bal_13"
"cho_14","gut_abs_14"
"bg_14","activ_ins_13"
"bg_14","renal_cl_14"
"bg_14","ins_indep_util_14"
"activ_ins_14","ins_abs_14"
"renal_cl_14","met_irr_13"
"renal_cl_14","ins_indep_14"
"ins_indep_util_14","ins_indep_14"
"ins_dep_14","activ_ins_14"
"ins_dep_14","ins_dep_util_14"
"ins_dep_14","glu_prod_14"
"endo_bal_14","ins_dep_14"
"cho_bal_14","meal_14"
"cho_bal_14","cho_14"
"cho_bal_14","gut_abs_14"
"basal_bal_14","endo_bal_14"
"basal_bal_14","met_irr_14"
"tot_bal_14","basal_bal_14"
"tot_bal_14","met_irr_14"
"cho_15","cho_bal_14"
"cho_15","cho_bal_15"
"bg_15","tot_bal_14"
"bg_15","renal_cl_15"
"bg_15","ins_indep_util_15"
"activ_ins_15","ins_abs_15"
"gut_abs_15","cho_15"
"gut_abs_15","cho_bal_15"
"renal_cl_15","ins_indep_15"
"ins_indep_util_15","ins_indep_15"
"ins_indep_15","endo_bal_15"
"ins_dep_15","activ_ins_15"
"ins_dep_15","ins_dep_util_15"
"ins_dep_15","glu_prod_15"
"endo_bal_15","ins_dep_15"
"endo_bal_15","basal_bal_15"
"cho_bal_15","meal_15"
"cho_bal_15","cho_16"
"basal_bal_15","tot_bal_15"
"met_irr_15","tot_bal_15"
"cho_16","gut_abs_16"
"cho_16","cho_bal_16"
"bg_16","bg_15"
"bg_16","gut_abs_15"
"bg_16","renal_cl_16"
"bg_16","ins_indep_util_16"
"activ_ins_16","ins_sens"
"activ_ins_16","ins_abs_16"
"activ_ins_16","ins_dep_16"
"activ_ins_16","bg_17"
"renal_cl_16","ins_indep_16"
"ins_indep_util_16","ins_indep_16"
"ins_indep_16","met_irr_15"
"ins_dep_16","ins_dep_util_16"
"ins_dep_16","glu_prod_16"
"ins_dep_16","endo_bal_16"
