"V1","V2"
"cho_0","gut_abs_0"
"cho_0","cho_bal_0"
"bg_0","renal_cl_0"
"bg_0","ins_indep_0"
"activ_ins_0","ins_sens"
"activ_ins_0","ins_abs_0"
"gut_abs_0","cho_init"
"gut_abs_0","meal_0"
"gut_abs_0","cho_bal_0"
"ins_dep_util_0","activ_ins_0"
"ins_dep_util_0","endo_bal_0"
"glu_prod_0","ins_sens"
"glu_prod_0","activ_ins_0"
"glu_prod_0","ins_abs_0"
"glu_prod_0","endo_bal_0"
"glu_prod_0","basal_bal_0"
"glu_prod_0","tot_bal_0"
"glu_prod_0","bg_1"
"ins_indep_0","ins_indep_util_0"
"ins_dep_0","activ_ins_0"
"ins_dep_0","ins_dep_util_0"
"ins_dep_0","glu_prod_0"
"ins_dep_0","endo_bal_0"
"endo_bal_0","basal_bal_0"
"basal_bal_0","tot_bal_0"
"tot_bal_0","bg_1"
"cho_1","gut_abs_1"
"cho_1","cho_bal_1"
"bg_1","renal_cl_1"
"bg_1","ins_indep_1"
"activ_ins_1","ins_sens"
"activ_ins_1","ins_abs_1"
"gut_abs_1","cho_0"
"gut_abs_1","gut_abs_0"
"gut_abs_1","cho_bal_1"
"renal_cl_1","gut_abs_0"
"renal_cl_1","ins_indep_1"
"renal_cl_1","bg_2"
"ins_dep_util_1","activ_ins_1"
"ins_dep_util_1","endo_bal_1"
"glu_prod_1","activ_ins_1"
"glu_prod_1","ins_abs_1"
"glu_prod_1","endo_bal_1"
"glu_prod_1","basal_bal_1"
"ins_indep_1","ins_indep_util_1"
"ins_dep_1","ins_dep_util_1"
"ins_dep_1","glu_prod_1"
"endo_bal_1","basal_bal_1"
"basal_bal_1","tot_bal_1"
"cho_2","gut_abs_2"
"cho_2","cho_bal_2"
"bg_2","renal_cl_2"
"bg_2","ins_indep_2"
"activ_ins_2","ins_sens"
"activ_ins_2","ins_abs_2"
"gut_abs_2","cho_1"
"gut_abs_2","gut_abs_1"
"gut_abs_2","cho_bal_2"
"renal_cl_2","gut_abs_1"
"renal_cl_2","ins_indep_2"
"ins_indep_util_2","activ_ins_1"
"ins_indep_util_2","ins_dep_1"
"ins_dep_util_2","activ_ins_2"
"ins_dep_util_2","endo_bal_2"
"glu_prod_2","activ_ins_2"
"glu_prod_2","ins_abs_2"
"glu_prod_2","endo_bal_2"
"glu_prod_2","basal_bal_2"
"ins_indep_2","ins_indep_util_2"
"ins_dep_2","ins_dep_util_2"
"ins_dep_2","glu_prod_2"
"basal_bal_2","tot_bal_2"
"cho_3","gut_abs_3"
"cho_3","cho_bal_3"
"bg_3","renal_cl_3"
"bg_3","ins_indep_3"
"activ_ins_3","ins_sens"
"activ_ins_3","ins_abs_3"
"activ_ins_3","bg_4"
"gut_abs_3","cho_2"
"gut_abs_3","gut_abs_2"
"gut_abs_3","cho_bal_3"
"renal_cl_3","ins_sens"
"renal_cl_3","bg_2"
"renal_cl_3","activ_ins_2"
"renal_cl_3","gut_abs_2"
"renal_cl_3","renal_cl_2"
"renal_cl_3","ins_indep_util_3"
"renal_cl_3","ins_indep_3"
"ins_indep_util_3","activ_ins_2"
"ins_dep_util_3","activ_ins_3"
"ins_dep_util_3","endo_bal_3"
"glu_prod_3","activ_ins_3"
"glu_prod_3","ins_abs_3"
"glu_prod_3","endo_bal_3"
"glu_prod_3","basal_bal_3"
"ins_indep_3","ins_indep_util_3"
"ins_dep_3","ins_dep_util_3"
"ins_dep_3","glu_prod_3"
"ins_dep_3","endo_bal_3"
"basal_bal_3","tot_bal_3"
"cho_4","gut_abs_4"
"cho_4","cho_bal_4"
"bg_4","ins_indep_4"
"activ_ins_4","ins_sens"
"activ_ins_4","ins_abs_4"
"gut_abs_4","cho_3"
"gut_abs_4","gut_abs_3"
"gut_abs_4","cho_bal_4"
"renal_cl_4","ins_sens"
"renal_cl_4","bg_3"
"renal_cl_4","gut_abs_3"
"renal_cl_4","renal_cl_3"
"renal_cl_4","bg_5"
"renal_cl_4","renal_cl_5"
"ins_dep_util_4","activ_ins_4"
"ins_dep_util_4","endo_bal_4"
"glu_prod_4","activ_ins_4"
"glu_prod_4","ins_abs_4"
"glu_prod_4","endo_bal_4"
"glu_prod_4","basal_bal_4"
"glu_prod_4","bg_5"
"ins_indep_4","bg_3"
"ins_indep_4","renal_cl_4"
"ins_indep_4","ins_indep_util_4"
"ins_indep_4","bg_5"
"ins_dep_4","ins_dep_util_4"
