"V1","V2"
"asnA","icdA"
"asnA","lacA"
"asnA","lacY"
"atpD","yheI"
"b1191","fixC"
"b1191","tnaA"
"b1191","ygcE"
"cspA","hupB"
"cspA","yfiA"
"cspG","cspA"
"cspG","lacA"
"cspG","lacZ"
"cspG","pspA"
"cspG","pspB"
"cspG","yaeM"
"cspG","yecO"
"dnaK","mopB"
"eutG","ibpB"
"eutG","lacY"
"eutG","yaeM"
"eutG","yceP"
"eutG","yfaD"
"fixC","cchB"
"fixC","tnaA"
"fixC","yceP"
"fixC","ycgX"
"fixC","ygbD"
"fixC","yjbO"
"icdA","aceB"
"lacA","b1583"
"lacA","lacY"
"lacA","lacZ"
"lacY","lacZ"
"lacY","nuoM"
"lacZ","b1583"
"lacZ","mopB"
"mopB","ftsJ"
"pspA","nmpC"
"pspB","pspA"
"sucA","atpD"
"sucA","atpG"
"sucA","dnaJ"
"sucA","eutG"
"sucA","flgD"
"sucA","gltA"
"sucA","sucD"
"sucA","tnaA"
"sucA","yfaD"
"sucA","ygcE"
"sucA","yhdM"
"yaeM","lacY"
"yaeM","lacZ"
"yceP","b1583"
"yceP","ibpB"
"yceP","yfaD"
"ycgX","dnaG"
"yedE","cspG"
"yedE","lpdA"
"yedE","pspA"
"yedE","pspB"
"yedE","yheI"
"yfiA","hupB"
"ygcE","asnA"
"ygcE","atpD"
"ygcE","icdA"
"yheI","b1963"
"yheI","dnaG"
"yheI","dnaK"
"yheI","folK"
"yheI","ycgX"
