"V1","V2"
"aceB","icdA"
"aceB","ygcE"
"asnA","atpD"
"asnA","b1191"
"asnA","lacA"
"asnA","lacZ"
"atpD","b1963"
"atpD","dnaK"
"atpD","folK"
"atpD","ycgX"
"atpD","yheI"
"b1191","tnaA"
"b1963","yheI"
"cchB","fixC"
"cspA","cspG"
"cspA","hupB"
"cspA","yfiA"
"cspG","pspB"
"cspG","yaeM"
"cspG","yecO"
"dnaG","yheI"
"dnaJ","sucA"
"dnaK","ftsJ"
"dnaK","mopB"
"eutG","ibpB"
"eutG","lacY"
"eutG","lacZ"
"eutG","yceP"
"eutG","yfaD"
"fixC","yceP"
"fixC","ycgX"
"fixC","yfaD"
"fixC","ygbD"
"ftsJ","mopB"
"lacA","lacY"
"lacA","lacZ"
"lacY","nuoM"
"lpdA","b1963"
"lpdA","yedE"
"pspA","nmpC"
"pspB","lpdA"
"pspB","yedE"
"sucA","aceB"
"sucA","atpD"
"sucA","atpG"
"sucA","b1191"
"sucA","eutG"
"sucA","flgD"
"sucA","gltA"
"sucA","sucD"
"sucA","tnaA"
"sucA","yfaD"
"sucA","ygcE"
"sucA","yhdM"
"tnaA","cchB"
"tnaA","fixC"
"yaeM","lacY"
"yaeM","lacZ"
"ycgX","dnaG"
"yedE","dnaK"
"yedE","folK"
"yedE","pspA"
"yedE","ycgX"
"yedE","yheI"
"yfiA","hupB"
"ygcE","asnA"
"ygcE","lacY"
