"V1","V2"
"vh_amn","hbsag"
"vh_amn","hbsag_anti"
"vh_amn","hbc_anti"
"hepatotoxic","alcoholism"
"THepatitis","alcoholism"
"THepatitis","fatigue"
"THepatitis","phosphatase"
"THepatitis","nausea"
"hospital","surgery"
"hospital","transfusion"
"surgery","transfusion"
"gallstones","choledocholithotomy"
"gallstones","fat"
"gallstones","pressure_ruq"
"gallstones","amylase"
"choledocholithotomy","hospital"
"choledocholithotomy","injections"
"choledocholithotomy","transfusion"
"injections","hospital"
"injections","surgery"
"ChHepatitis","vh_amn"
"ChHepatitis","injections"
"ChHepatitis","phosphatase"
"ChHepatitis","ESR"
"ChHepatitis","alt"
"ChHepatitis","hbsag"
"ChHepatitis","hbc_anti"
"ChHepatitis","hbeag"
"sex","PBC"
"sex","Hyperbilirubinemia"
"age","PBC"
"PBC","gallstones"
"PBC","bilirubin"
"PBC","pressure_ruq"
"PBC","ama"
"PBC","le_cells"
"PBC","joints"
"PBC","pain"
"PBC","platelet"
"PBC","encephalopathy"
"PBC","ESR"
"PBC","ggtp"
"PBC","cholesterol"
"PBC","carcinoma"
"fibrosis","ChHepatitis"
"fibrosis","Steatosis"
"obesity","diabetes"
"Steatosis","alcoholism"
"Steatosis","obesity"
"Steatosis","triglycerides"
"Steatosis","ast"
"Cirrhosis","fibrosis"
"Cirrhosis","Steatosis"
"Cirrhosis","proteins"
"Cirrhosis","edema"
"Cirrhosis","inr"
"Cirrhosis","alcohol"
"Cirrhosis","spleen"
"Cirrhosis","spiders"
"Cirrhosis","albumin"
"Cirrhosis","edge"
"Cirrhosis","irregular_liver"
"Cirrhosis","palms"
"Hyperbilirubinemia","age"
"Hyperbilirubinemia","bilirubin"
"Hyperbilirubinemia","pain_ruq"
"Hyperbilirubinemia","hepatomegaly"
"Hyperbilirubinemia","ggtp"
"RHepatitis","anorexia"
"bilirubin","gallstones"
"bilirubin","itching"
"bilirubin","skin"
"bilirubin","jaundice"
"phosphatase","RHepatitis"
"pain","joints"
"proteins","ascites"
"platelet","bleeding"
"inr","bleeding"
"encephalopathy","urea"
"encephalopathy","density"
"encephalopathy","consciousness"
"hepatomegaly","hepatalgia"
"ast","THepatitis"
"ast","ChHepatitis"
"hbsag_anti","hbsag"
"hcv_anti","vh_amn"
"carcinoma","Cirrhosis"
