"V1","V2"
"alcoholism","THepatitis"
"vh_amn","hbsag"
"hospital","injections"
"hospital","transfusion"
"hospital","ChHepatitis"
"surgery","injections"
"surgery","transfusion"
"surgery","pain"
"gallstones","choledocholithotomy"
"choledocholithotomy","injections"
"injections","transfusion"
"ChHepatitis","vh_amn"
"ChHepatitis","surgery"
"ChHepatitis","injections"
"ChHepatitis","transfusion"
"ChHepatitis","fibrosis"
"ChHepatitis","Steatosis"
"ChHepatitis","Cirrhosis"
"ChHepatitis","fatigue"
"ChHepatitis","pressure_ruq"
"ChHepatitis","phosphatase"
"ChHepatitis","edema"
"ChHepatitis","ESR"
"ChHepatitis","hbsag"
"ChHepatitis","spleen"
"ChHepatitis","spiders"
"ChHepatitis","edge"
"ChHepatitis","irregular_liver"
"ChHepatitis","hbc_anti"
"ChHepatitis","palms"
"ChHepatitis","carcinoma"
"sex","PBC"
"sex","Hyperbilirubinemia"
"sex","pressure_ruq"
"sex","ggtp"
"age","sex"
"age","PBC"
"age","Hyperbilirubinemia"
"age","pain_ruq"
"age","pain"
"age","ESR"
"age","ggtp"
"age","cholesterol"
"PBC","itching"
"PBC","pressure_ruq"
"PBC","ama"
"PBC","le_cells"
"PBC","joints"
"PBC","pain"
"PBC","platelet"
"PBC","encephalopathy"
"PBC","ggtp"
"PBC","jaundice"
"PBC","carcinoma"
"Steatosis","alcoholism"
"Steatosis","spiders"
"Steatosis","irregular_liver"
"Cirrhosis","fibrosis"
"Cirrhosis","Steatosis"
"Cirrhosis","pain_ruq"
"Cirrhosis","pressure_ruq"
"Cirrhosis","phosphatase"
"Cirrhosis","edema"
"Cirrhosis","inr"
"Cirrhosis","alcohol"
"Cirrhosis","spiders"
"Cirrhosis","albumin"
"Cirrhosis","irregular_liver"
"Cirrhosis","carcinoma"
"triglycerides","alcoholism"
"triglycerides","transfusion"
"triglycerides","Steatosis"
"triglycerides","Cirrhosis"
"triglycerides","ast"
"triglycerides","spleen"
"triglycerides","edge"
"fatigue","THepatitis"
"fatigue","anorexia"
"bilirubin","gallstones"
"bilirubin","sex"
"bilirubin","age"
"bilirubin","PBC"
"bilirubin","Hyperbilirubinemia"
"bilirubin","itching"
"bilirubin","skin"
"bilirubin","ESR"
"bilirubin","cholesterol"
"bilirubin","jaundice"
"fat","gallstones"
"pain_ruq","Hyperbilirubinemia"
"pressure_ruq","gallstones"
"phosphatase","RHepatitis"
"skin","PBC"
"skin","ESR"
"skin","jaundice"
"pain","joints"
"platelet","bleeding"
"platelet","anorexia"
"bleeding","inr"
"encephalopathy","consciousness"
"urea","encephalopathy"
"urea","density"
"ascites","proteins"
"hepatomegaly","vh_amn"
"hepatomegaly","hospital"
"hepatomegaly","sex"
"hepatomegaly","age"
"hepatomegaly","Hyperbilirubinemia"
"hepatomegaly","pain_ruq"
"hepatomegaly","hepatalgia"
"density","encephalopathy"
"ESR","sex"
"ESR","PBC"
"ESR","pain"
"ESR","cholesterol"
"alt","THepatitis"
"alt","ChHepatitis"
"alt","Steatosis"
"alt","upper_pain"
"ast","THepatitis"
"ast","ChHepatitis"
"ast","Steatosis"
"ast","edge"
"ggtp","Hyperbilirubinemia"
"ggtp","density"
"cholesterol","sex"
"cholesterol","PBC"
"cholesterol","Steatosis"
"cholesterol","ggtp"
"spleen","Steatosis"
"spleen","Cirrhosis"
"albumin","pressure_ruq"
"edge","fibrosis"
"edge","Steatosis"
"edge","Cirrhosis"
"edge","spleen"
"edge","irregular_liver"
"edge","palms"
"irregular_liver","spiders"
"palms","Steatosis"
"palms","Cirrhosis"
"palms","spleen"
