"V1","V2"
"Age","GoodStudent"
"Age","SocioEcon"
"Age","DrivingSkill"
"SocioEcon","GoodStudent"
"SocioEcon","VehicleYear"
"SocioEcon","MakeModel"
"SocioEcon","HomeBase"
"SocioEcon","AntiTheft"
"SocioEcon","OtherCar"
"RiskAversion","Age"
"RiskAversion","DrivQuality"
"RiskAversion","SeniorTrain"
"RiskAversion","HomeBase"
"RiskAversion","AntiTheft"
"RiskAversion","DrivHist"
"VehicleYear","RuggedAuto"
"VehicleYear","Antilock"
"VehicleYear","CarValue"
"VehicleYear","Airbag"
"ThisCarDam","ThisCarCost"
"RuggedAuto","ThisCarDam"
"RuggedAuto","Cushioning"
"Accident","ThisCarDam"
"Accident","Mileage"
"Accident","OtherCarCost"
"Accident","MedCost"
"Accident","ILiCost"
"MakeModel","RuggedAuto"
"MakeModel","Antilock"
"MakeModel","CarValue"
"MakeModel","Airbag"
"DrivQuality","Accident"
"Mileage","CarValue"
"Antilock","Accident"
"DrivingSkill","DrivQuality"
"DrivingSkill","DrivHist"
"SeniorTrain","Age"
"SeniorTrain","DrivingSkill"
"ThisCarCost","PropCost"
"CarValue","ThisCarCost"
"OtherCarCost","PropCost"
"Cushioning","MedCost"
"Airbag","Cushioning"
