"V1","V2"
"HT","YLD"
"FT","HT"
"FT","AMY"
"FT","GTEMP"
"FT","YLD"
"FT","CHALK"
"AMY","GTEMP"
"AMY","CHALK"
"GL","GW"
"GL","CHALK"
"GW","FT"
"GW","YLD"
"GW","CHALK"
"GTEMP","CHALK"
"G4432","GW"
"G4432","G1533"
"G4432","YLD"
"G2670","YLD"
"G4744","YLD"
"G3092","YLD"
"G3486","HT"
"G3486","G3862"
"G1533","HT"
"G1533","FT"
"G1533","YLD"
"G2639","FT"
"G3823","FT"
"G3823","G457"
"G3823","G3862"
"G1378","FT"
"G3105","AMY"
"G3105","G3102"
"G3105","G3098"
"G3105","G3106"
"G3102","AMY"
"G3098","FT"
"G3098","AMY"
"G3098","G4109"
"G317","AMY"
"G317","G2639"
"G5167","BROWN"
"G1778","GL"
"G3872","GL"
"G4529","GL"
"G4529","SUB"
"G1440","GL"
"G5794","GL"
"G5794","GW"
"G5794","G6003"
"G5794","G3925"
"G4668","GL"
"G2764","GL"
"G2764","GW"
"G2764","CHALK"
"G3862","G1778"
"G3862","CHALK"
"G3964","G3862"
"G3964","CHALK"
"G4109","CHALK"
"G4109","G4156"
"G2089","CHALK"
"G3219","GTEMP"
"G3219","G4382"
"G3209","GTEMP"
"G3209","G3486"
"G3209","G3105"
"G3209","G3219"
"G3209","G3222"
"G3222","GW"
"G3222","GTEMP"
"G3222","G3219"
"G3212","GTEMP"
"G3212","G3209"
"G3212","G3222"
"G3212","G4145"
"G4573","G4529"
"G4573","SUB"
"G1311","G1378"
"G1311","G4668"
"G1311","SUB"
"G2949","SUB"
"G6003","G6010"
"G6003","BROWN"
"G6010","G317"
"G6010","BROWN"
"G6123","BROWN"
"G2815","G2670"
"G2815","BROWN"
"G3049","BROWN"
"G1888","YLD"
"G1958","YLD"
"G4156","HT"
"G4382","HT"
"G3136","FT"
"G4145","FT"
"G4145","G4109"
"G4145","G4156"
"G3106","AMY"
"G1266","AMY"
"G3927","GL"
"G3927","GW"
"G5997","G6003"
"G5997","G6010"
"G4553","SUB"
"G2179","BROWN"
"G5006","YLD"
"G3992","GL"
"G678","HT"
"G3925","YLD"
