"V1","V2"
"HT","FT"
"HT","G3486"
"HT","G1533"
"HT","YLD"
"HT","G678"
"FT","G1533"
"FT","G2639"
"FT","G3823"
"FT","G1378"
"FT","YLD"
"FT","CHALK"
"FT","G3136"
"FT","G4145"
"AMY","GTEMP"
"AMY","G3105"
"AMY","G3102"
"AMY","G3098"
"AMY","G317"
"AMY","G3219"
"AMY","CHALK"
"AMY","G3106"
"AMY","G1266"
"GL","GW"
"GL","G1778"
"GL","G4529"
"GL","G1440"
"GL","G5794"
"GL","G3927"
"GL","G3992"
"GW","G2764"
"GW","CHALK"
"GW","G3927"
"GTEMP","GW"
"GTEMP","G3219"
"GTEMP","G3209"
"GTEMP","G3222"
"GTEMP","G3212"
"GTEMP","CHALK"
"G4432","GW"
"G4432","G2764"
"G4432","G3927"
"G2670","G2815"
"G2670","YLD"
"G4744","YLD"
"G3092","YLD"
"G3486","G3862"
"G1533","YLD"
"G2639","G317"
"G3823","G457"
"G3823","G3862"
"G1378","G1533"
"G1378","G1311"
"G3105","G3102"
"G3105","G3098"
"G3105","G3106"
"G3098","FT"
"G5167","BROWN"
"G1778","CHALK"
"G4529","G1778"
"G4529","G4573"
"G1440","G1778"
"G5794","GW"
"G5794","G6003"
"G5794","G3925"
"G2764","CHALK"
"G2764","G3927"
"G3862","G3964"
"G3862","CHALK"
"G3964","CHALK"
"G4109","CHALK"
"G4109","G4156"
"G4109","G4145"
"G2089","CHALK"
"G3219","G4382"
"G3209","G3486"
"G3209","G3105"
"G3209","G3219"
"G3222","G3209"
"G3212","G3219"
"G3212","G3209"
"G3212","G3222"
"G3212","G4145"
"G1311","SUB"
"G2949","SUB"
"G6003","G6010"
"G6003","BROWN"
"G6003","G5997"
"G6010","G317"
"G6123","BROWN"
"G2815","BROWN"
"G3049","BROWN"
"YLD","GW"
"YLD","G4432"
"BROWN","G6010"
"SUB","G4529"
"SUB","G4573"
"SUB","G4553"
"G1888","YLD"
"G1958","YLD"
"G4156","HT"
"G4156","G4145"
"G3136","G1533"
"G3927","G1778"
"G5997","G6010"
"G5006","YLD"
"G3992","G1778"
"G678","FT"
