"V1","V2"
"total_bilirubin_mean","potassium_mean"
"total_bilirubin_mean","AST_mean"
"total_bilirubin_mean","CAD_mean"
"total_bilirubin_mean","IGT"
"total_bilirubin_mean","diabetic_nephropathy"
"total_bilirubin_mean","beta_block"
"triglycerides_mean","AST_mean"
"triglycerides_mean","ALT_mean"
"triglycerides_mean","hba1c_mean"
"triglycerides_mean","LDL_mean"
"triglycerides_mean","cholesterol_mean"
"triglycerides_mean","AC_mean"
"triglycerides_mean","CAD_mean"
"triglycerides_mean","bmi_mean"
"triglycerides_mean","AF"
"creatinine_mean","potassium_mean"
"creatinine_mean","bmi_mean"
"creatinine_mean","obesity"
"creatinine_mean","myocardial_infarction"
"potassium_mean","CHF"
"potassium_mean","COPD"
"AST_mean","ALT_mean"
"AST_mean","total_protein_mean"
"AST_mean","diabetic_retinopathy"
"sodium_mean","triglycerides_mean"
"sodium_mean","hba1c_mean"
"sodium_mean","arterial_hypertension"
"sodium_mean","sleep_disorders"
"sodium_mean","thyrotoxicosis"
"sodium_mean","ischemic_cardiomyopathy"
"sodium_mean","cushing_syndrome"
"total_protein_mean","IGT"
"total_protein_mean","diabetic_osteoarthropathy"
"HDL_mean","leukocytes_mean"
"hba1c_mean","total_bilirubin_mean"
"hba1c_mean","potassium_mean"
"hba1c_mean","leukocytes_mean"
"hba1c_mean","harmful_lifestyle"
"hba1c_mean","hyperglycemia"
"hba1c_mean","neuropathy"
"LDL_mean","potassium_mean"
"LDL_mean","HDL_mean"
"LDL_mean","cholesterol_mean"
"cholesterol_mean","HDL_mean"
"cholesterol_mean","DLM"
"AC_mean","potassium_mean"
"AC_mean","HDL_mean"
"AC_mean","LDL_mean"
"AC_mean","hemoglobin_mean"
"AC_mean","arterial_hypertension"
"hemoglobin_mean","total_bilirubin_mean"
"hemoglobin_mean","potassium_mean"
"hemoglobin_mean","ALT_mean"
"hemoglobin_mean","total_protein_mean"
"hemoglobin_mean","hematocrit_mean"
"hematocrit_mean","COPD"
"leukocytes_mean","hematocrit_mean"
"leukocytes_mean","bmi_mean"
"leukocytes_mean","COPD"
"leukocytes_mean","obesity"
"leukocytes_mean","diabetic_osteoarthropathy"
"CAD_mean","total_protein_mean"
"CAD_mean","DAD_mean"
"CAD_mean","COPD"
"CAD_mean","all_gipoglemic_drugs"
"DAD_mean","bmi_mean"
"bmi_mean","essential_hypertension"
"bmi_mean","harmful_lifestyle"
"bmi_mean","obesity"
"bmi_mean","all_gipoglemic_drugs"
"arterial_hypertension","CAD_mean"
"arterial_hypertension","stenocardia"
"arterial_hypertension","diabetic_angiopathy"
"essential_hypertension","diabetic_nephropathy"
"essential_hypertension","all_gipoglemic_drugs"
"COPD","atherosclerosis"
"COPD","APC"
"COPD","neuropathy"
"atherosclerosis","CHF"
"atherosclerosis","ACS"
"atherosclerosis","stroke"
"anemia","sodium_mean"
"anemia","hemoglobin_mean"
"anemia","essential_hypertension"
"anemia","CKD"
"anemia","harmful_lifestyle"
"anemia","metabolic_syndrome"
"anemia","DLM"
"anemia","diabetic_ulcer"
"anemia","acromegaly"
"anemia","diuretic"
"APC","stroke"
"CKD","creatinine_mean"
"CKD","hyperglycemia"
"CKD","diabetic_nephropathy"
"CKD","neuropathy"
"CKD","insulins"
"harmful_lifestyle","ACS"
"harmful_lifestyle","diabetic_angiopathy"
"harmful_lifestyle","diabetic_nephropathy"
"harmful_lifestyle","all_gipoglemic_drugs"
"AF","total_bilirubin_mean"
"AF","creatinine_mean"
"AF","CHF"
"AF","thyrotoxicosis"
"AF","myocardial_infarction"
"AF","ACS"
"IGT","stenocardia"
"IGT","hyperglycemia"
"IGT","all_gipoglemic_drugs"
"metabolic_syndrome","DAD_mean"
"metabolic_syndrome","thyrotoxicosis"
"metabolic_syndrome","ACS"
"obesity","CHF"
"obesity","thyrotoxicosis"
"obesity","stroke"
"obesity","all_gipoglemic_drugs"
"stenocardia","atherosclerosis"
"sleep_disorders","essential_hypertension"
"sleep_disorders","APC"
"sleep_disorders","IGT"
"sleep_disorders","stenocardia"
"sleep_disorders","ACS"
"sleep_disorders","diabetic_nephropathy"
"DLM","total_protein_mean"
"DLM","essential_hypertension"
"DLM","atherosclerosis"
"hyperglycemia","diabetic_nephropathy"
"hyperglycemia","stroke"
"diabetic_ulcer","creatinine_mean"
"diabetic_ulcer","hba1c_mean"
"diabetic_ulcer","DAD_mean"
"diabetic_ulcer","CKD"
"diabetic_ulcer","harmful_lifestyle"
"diabetic_ulcer","DLM"
"diabetic_ulcer","diabetic_osteoarthropathy"
"diabetic_ulcer","myocardial_infarction"
"diabetic_ulcer","diabetic_retinopathy"
"diabetic_ulcer","diabetic_angiopathy"
"hypocorticism","acromegaly"
"hypocorticism","myocardial_infarction"
"ischemic_cardiomyopathy","creatinine_mean"
"ischemic_cardiomyopathy","ALT_mean"
"ischemic_cardiomyopathy","total_protein_mean"
"ischemic_cardiomyopathy","AC_mean"
"ischemic_cardiomyopathy","CAD_mean"
"ischemic_cardiomyopathy","DAD_mean"
"ischemic_cardiomyopathy","ACS"
"ischemic_cardiomyopathy","neuropathy"
"ischemic_cardiomyopathy","diuretic"
"myocardial_infarction","COPD"
"myocardial_infarction","atherosclerosis"
"myocardial_infarction","ACS"
"myocardial_infarction","diabetic_retinopathy"
"CHD","cholesterol_mean"
"CHD","arterial_hypertension"
"CHD","essential_hypertension"
"CHD","CHF"
"CHD","AF"
"CHD","stenocardia"
"CHD","diabetic_ulcer"
"CHD","cushing_syndrome"
"CHD","all_statins"
"CHD","beta_block"
"diabetic_angiopathy","atherosclerosis"
"diabetic_angiopathy","hyperglycemia"
"diabetic_angiopathy","diabetic_nephropathy"
"diabetic_angiopathy","neuropathy"
"diabetic_angiopathy","all_gipoglemic_drugs"
"diabetic_nephropathy","X0.879"
"diabetic_nephropathy","diabetic_retinopathy"
"diabetic_nephropathy","neuropathy"
"neuropathy","diabetic_retinopathy"
"neuropathy","stroke"
"cushing_syndrome","X0.879"
"cushing_syndrome","thyrotoxicosis"
"cushing_syndrome","hypocorticism"
"cushing_syndrome","acromegaly"
"stroke","thyrotoxicosis"
"insulins","creatinine_mean"
"insulins","hba1c_mean"
"insulins","essential_hypertension"
"insulins","APC"
"insulins","IGT"
"insulins","hyperglycemia"
"insulins","diabetic_retinopathy"
"insulins","diabetic_angiopathy"
"all_statins","X0.879"
"all_statins","arterial_hypertension"
"all_statins","atherosclerosis"
"all_statins","DLM"
"all_statins","beta_block"
"diuretic","LDL_mean"
"diuretic","bmi_mean"
"diuretic","CHF"
"diuretic","COPD"
"diuretic","AF"
"diuretic","sleep_disorders"
"diuretic","thyrotoxicosis"
"diuretic","CHD"
"diuretic","cushing_syndrome"
"diuretic","all_statins"
"diuretic","beta_block"
"beta_block","CHF"
"beta_block","stenocardia"
"beta_block","DLM"
"beta_block","myocardial_infarction"
