V1,V2
thyrotoxicosis,total_bilirubin_mean
all_statins,total_bilirubin_mean
all_statins,triglycerides_mean
all_statins,ALT_mean
all_statins,AST_mean
sleep_disorders,metabolic_syndrome
diuretic,CAD_mean
diuretic,DAD_mean
diuretic,creatinine_mean
diuretic,sodium_mean
diuretic,potassium_mean
hypocorticism  ,CAD_mean
hypocorticism  ,DAD_mean
hypocorticism  ,potassium_mean
hypocorticism  ,sodium_mean
sleep_disorders,CAD_mean
sleep_disorders,DAD_mean
creatinine_mean,potassium_mean
creatinine_mean,CAD_mean
creatinine_mean,DAD_mean
CKD,creatinine_mean
creatinine_mean,sodium_mean
CAD_mean,potassium_mean
DAD_mean,potassium_mean
CAD_mean,sodium_mean
DAD_mean,sodium_mean
potassium_mean,AF
cushing_syndrome,potassium_mean
DLM,triglycerides_mean 
DLM,cholesterol_mean 
DLM,HDL_mean
metabolic_syndrome,AST_mean 
metabolic_syndrome,ALT_mean
all_gipoglemic_drugs ,AST_mean 
all_gipoglemic_drugs ,ALT_mean
thyrotoxicosis,AST_mean 
thyrotoxicosis,ALT_mean
beta_block,CAD_mean
beta_block,DAD_mean
metabolic_syndrome,CAD_mean
metabolic_syndrome,DAD_mean
harmful_lifestyle,metabolic_syndrome
harmful_lifestyle,CAD_mean
harmful_lifestyle,DAD_mean
leukocytes_mean,CAD_mean
leukocytes_mean,DAD_mean
cushing_syndrome,CAD_mean
cushing_syndrome,DAD_mean
thyrotoxicosis,CAD_mean
thyrotoxicosis,DAD_mean
acromegaly,CAD_mean
acromegaly,DAD_mean
CAD_mean,arterial_hypertension
DAD_mean,arterial_hypertension
arterial_hypertension,essential_hypertension
essential_hypertension,atherosclerosis
hyperglycemia,atherosclerosis
metabolic_syndrome,triglycerides_mean 
metabolic_syndrome,cholesterol_mean 
metabolic_syndrome,HDL_mean
triglycerides_mean ,atherosclerosis
cholesterol_mean ,atherosclerosis
HDL_mean,atherosclerosis
metabolic_syndrome,atherosclerosis
arterial_hypertension,CKD
harmful_lifestyle,COPD
harmful_lifestyle,hyperglycemia
harmful_lifestyle,obesity
metabolic_syndrome,leukocytes_mean
metabolic_syndrome,obesity
COPD,leukocytes_mean
COPD,APC
APC,leukocytes_mean
APC,anemia
APC,hyperglycemia
leukocytes_mean,atherosclerosis
leukocytes_mean,hyperglycemia
essential_hypertension,CHD
essential_hypertension,ischemic_cardiomyopathy
essential_hypertension,stenocardia
cushing_syndrome,leukocytes_mean
anemia,CHD
anemia,ischemic_cardiomyopathy
anemia,stenocardia
anemia,СHF
anemia,hemoglobin_mean
thyrotoxicosis,anemia
CKD,anemia
all_gipoglemic_drugs,bmi_mean
all_gipoglemic_drugs,hemoglobin_mean
insulins,hemoglobin_mean
atherosclerosis,CHD
atherosclerosis,ischemic_cardiomyopathy
atherosclerosis,stenocardia
atherosclerosis,stroke
diabetic_angiopathy,atherosclerosis
bmi_mean,obesity
thyrotoxicosis,bmi_mean
beta_block,myocardial_infarction
beta_block,ACS
beta_block,CHD
beta_block,ischemic_cardiomyopathy
beta_block,stenocardia
beta_block,AF
beta_block,CHF
beta_block,hemoglobin_mean
CHD,myocardial_infarction
CHD,ACS
ischemic_cardiomyopathy,myocardial_infarction
ischemic_cardiomyopathy,ACS
stenocardia,myocardial_infarction
stenocardia,ACS
myocardial_infarction,hyperglycemia
ACS,hyperglycemia
ACS,AF
myocardial_infarction,AF
CHD,AF
ischemic_cardiomyopathy,AF
stenocardia,AF
AF,CHF
AF,stroke
stroke,hyperglycemia
hyperglycemia,IGT
IGT,hemoglobin_mean
hyperglycemia,hemoglobin_mean
neuropathy,hemoglobin_mean
obesity,hyperglycemia
thyrotoxicosis,hyperglycemia
acromegaly,hyperglycemia
cushing_syndrome,hyperglycemia
cushing_syndrome,obesity
hyperglycemia,diabetic_retinopathy
hyperglycemia,diabetic_angiopathy
hyperglycemia,diabetic_osteoarthropathy
hyperglycemia,diabetic_ulcer
hyperglycemia,diabetic_nephropathy
hyperglycemia,neuropathy
diabetic_nephropathy,total_protein_mean
diabetic_nephropathy,CKD
CKD,total_protein_mean
