dm_1,foto_1,straaling_1,temp_1,lai_1,meldug_1,lai_0,dm_2,foto_2,straaling_2,temp_2,lai_2,meldug_2,dm_3,foto_3,straaling_3,temp_3,lai_3,meldug_3,dm_4,foto_4,straaling_4,temp_4,lai_4,meldug_4,mikro_1,middel_1,mikro_2,middel_2,mikro_3,middel_3,nedboer_1,nedboer_2,nedboer_3,udbytte
0_24_kg_m2,0_45_kg_m2,150___199_MJ_m2,___13_0_C,4_5___5_5,6___10_%,5_5___6_5,0_60_kg_m2,0_65_kg_m2,200___249_MJ_m2,13_0___14_9_C,4_5___5_5,0_5___1__,1_10_kg_m2,0_90_kg_m2,300___349_MJ_m2,13_0___14_9_C,2_5___3_5,0_00___0_01__,1_30_kg_m2,0_55_kg_m2,___300_MJ_m2,13_0___14_9_C,0_5___1_5,0_00___0_01__,T_rt_og_koldt,0_25_l_ha,V_dt_og_varmt,0_25_l_ha,V_dt_og_koldt,0_50_l_ha,0___1,____4,____4,109___111_hkg_ha
0_28_kg_m2,0_50_kg_m2,150___199_MJ_m2,___13_0_C,2_5___3_5,25___50_%,3_5___4_5,0_44_kg_m2,0_40_kg_m2,___150_MJ_m2,13_0___14_9_C,2_5___3_5,0_01___0_5__,0_80_kg_m2,0_70_kg_m2,___300_MJ_m2,15_0___16_9_C,1_5___2_5,0_00___0_01__,0_88_kg_m2,0_30_kg_m2,300___349_MJ_m2,13_0___14_9_C,0_5___1_5,0_00___0_01__,T_rt_og_koldt,0_50_l_ha,T_rt_og_varmt,0_50_l_ha,V_dt_og_varmt,0_l_ha,0___1,0___1,____4,73___75_hkg_ha
0_20_kg_m2,0_40_kg_m2,150___199_MJ_m2,13_0___14_9_C,3_5___4_5,2___6_%,3_5___4_5,0_40_kg_m2,0_40_kg_m2,150___199_MJ_m2,____17_0_C,3_5___4_5,0_00___0_01__,0_84_kg_m2,0_80_kg_m2,300___349_MJ_m2,15_0___16_9_C,2_5___3_5,0_00___0_01__,0_94_kg_m2,0_35_kg_m2,___300_MJ_m2,13_0___14_9_C,0_5___1_5,0_00___0_01__,V_dt_og_koldt,0_75_l_ha,T_rt_og_varmt,0_50_l_ha,T_rt_og_koldt,0_25_l_ha,0___1,2___3,0___1,79___81_hkg_ha
0_22_kg_m2,0_45_kg_m2,200___249_MJ_m2,13_0___14_9_C,1_5___2_5,10___25_%,2_5___3_5,0_34_kg_m2,0_30_kg_m2,200___249_MJ_m2,____17_0_C,0_5___1_5,50___100__,0_60_kg_m2,0_60_kg_m2,____400_MJ_m2,15_0___16_9_C,0_5___1_5,2___6__,0_80_kg_m2,0_45_kg_m2,300___349_MJ_m2,15_0___16_9_C,0_5___1_5,0_00___0_01__,T_rt_og_varmt,0_l_ha,V_dt_og_varmt,0_50_l_ha,T_rt_og_koldt,0_75_l_ha,0___1,2___3,0___1,67___69_hkg_ha
0_38_kg_m2,0_65_kg_m2,____250_MJ_m2,13_0___14_9_C,2_5___3_5,6___10_%,3_5___4_5,0_54_kg_m2,0_35_kg_m2,150___199_MJ_m2,13_0___14_9_C,2_5___3_5,6___10__,0_76_kg_m2,0_55_kg_m2,___300_MJ_m2,13_0___14_9_C,1_5___2_5,0_00___0_01__,0_78_kg_m2,0_25_kg_m2,___300_MJ_m2,____17_0_C,0_5___1_5,0_00___0_01__,T_rt_og_koldt,0_l_ha,V_dt_og_varmt,0_50_l_ha,T_rt_og_koldt,0_75_l_ha,0___1,2___3,2___3,65___67_hkg_ha
0_20_kg_m2,0_40_kg_m2,___150_MJ_m2,___13_0_C,___6_5,0_01___0_5_%,5_5___6_5,0_52_kg_m2,0_60_kg_m2,200___249_MJ_m2,15_0___16_9_C,5_5___6_5,0_00___0_01__,1_08_kg_m2,1_00_kg_m2,350___399_MJ_m2,13_0___14_9_C,3_5___4_5,0_00___0_01__,1_10_kg_m2,0_30_kg_m2,___300_MJ_m2,15_0___16_9_C,0_5___1_5,0_00___0_01__,V_dt_og_koldt,0_50_l_ha,V_dt_og_varmt,0_50_l_ha,V_dt_og_koldt,0_l_ha,2___3,____4,____4,91___93_hkg_ha
0_20_kg_m2,0_40_kg_m2,200___249_MJ_m2,___13_0_C,0_5___1_5,50___100_%,5_5___6_5,0_26_kg_m2,0_25_kg_m2,200___249_MJ_m2,13_0___14_9_C,0_5___1_5,0_01___0_5__,0_60_kg_m2,0_60_kg_m2,300___349_MJ_m2,15_0___16_9_C,0_5___1_5,0_00___0_01__,0_44_kg_m2,0_00_kg_m2,___300_MJ_m2,15_0___16_9_C,0_0___0_5,0_00___0_01__,T_rt_og_koldt,0_75_l_ha,V_dt_og_koldt,0_75_l_ha,T_rt_og_varmt,0_75_l_ha,0___1,____4,2___3,37___39_hkg_ha
0_28_kg_m2,0_55_kg_m2,200___249_MJ_m2,___13_0_C,3_5___4_5,1___2_%,4_5___5_5,0_52_kg_m2,0_45_kg_m2,150___199_MJ_m2,13_0___14_9_C,3_5___4_5,2___6__,0_98_kg_m2,0_80_kg_m2,___300_MJ_m2,____17_0_C,2_5___3_5,0_01___0_5__,1_18_kg_m2,0_55_kg_m2,300___349_MJ_m2,13_0___14_9_C,0_5___1_5,2___6__,V_dt_og_koldt,0_l_ha,T_rt_og_koldt,0_25_l_ha,V_dt_og_varmt,0_l_ha,____4,2___3,____4,99___101_hkg_ha
0_30_kg_m2,0_55_kg_m2,200___249_MJ_m2,15_0___16_9_C,5_5___6_5,2___6_%,___6_5,0_64_kg_m2,0_60_kg_m2,200___249_MJ_m2,___13_0_C,5_5___6_5,0_00___0_01__,1_10_kg_m2,0_90_kg_m2,300___349_MJ_m2,15_0___16_9_C,3_5___4_5,0_00___0_01__,1_26_kg_m2,0_50_kg_m2,350___399_MJ_m2,____17_0_C,0_5___1_5,0_00___0_01__,T_rt_og_koldt,0_75_l_ha,V_dt_og_koldt,0_75_l_ha,V_dt_og_varmt,0_25_l_ha,0___1,____4,2___3,107___109_hkg_ha
0_22_kg_m2,0_45_kg_m2,150___199_MJ_m2,____17_0_C,5_5___6_5,0_00___0_01_%,5_5___6_5,0_46_kg_m2,0_50_kg_m2,150___199_MJ_m2,15_0___16_9_C,5_5___6_5,0_00___0_01__,0_86_kg_m2,0_75_kg_m2,300___349_MJ_m2,15_0___16_9_C,3_5___4_5,0_00___0_01__,1_08_kg_m2,0_50_kg_m2,300___349_MJ_m2,____17_0_C,0_5___1_5,0_00___0_01__,T_rt_og_varmt,0_75_l_ha,T_rt_og_koldt,0_l_ha,V_dt_og_koldt,0_25_l_ha,0___1,0___1,____4,91___93_hkg_ha
0_24_kg_m2,0_50_kg_m2,150___199_MJ_m2,___13_0_C,3_5___4_5,10___25_%,4_5___5_5,0_52_kg_m2,0_60_kg_m2,200___249_MJ_m2,13_0___14_9_C,3_5___4_5,0_5___1__,0_98_kg_m2,0_85_kg_m2,300___349_MJ_m2,15_0___16_9_C,2_5___3_5,0_00___0_01__,1_04_kg_m2,0_35_kg_m2,___300_MJ_m2,13_0___14_9_C,0_5___1_5,0_00___0_01__,V_dt_og_koldt,0_25_l_ha,V_dt_og_koldt,0_50_l_ha,T_rt_og_varmt,0_l_ha,____4,____4,0___1,87___89_hkg_ha
0_20_kg_m2,0_40_kg_m2,150___199_MJ_m2,___13_0_C,3_5___4_5,6___10_%,3_5___4_5,0_48_kg_m2,0_55_kg_m2,200___249_MJ_m2,13_0___14_9_C,3_5___4_5,2___6__,0_60_kg_m2,0_40_kg_m2,350___399_MJ_m2,13_0___14_9_C,0_5___1_5,50___100__,0_62_kg_m2,0_25_kg_m2,300___349_MJ_m2,13_0___14_9_C,0_0___0_5,0_01___0_5__,T_rt_og_koldt,0_l_ha,V_dt_og_varmt,0_l_ha,V_dt_og_varmt,0_75_l_ha,0___1,2___3,____4,51___53_hkg_ha
