"V1","V2"
"R_LNLW_MEDD2_DISP_WD","R_LNLW_MED_SEV"
"R_LNLW_MEDD2_DISP_WD","R_MEDD2_DISP_WD"
"R_LNLW_MEDD2_DISP_WD","R_LNLW_MEDD2_LD_WD"
"R_LNLW_MEDD2_DISP_WD","R_MEDD2_LD_WD"
"R_LNLW_MEDD2_DISP_WD","R_LNLW_APB_DE_REGEN"
"R_LNLW_MEDD2_DISP_WD","R_MED_LD_WA"
"R_LNLW_MEDD2_DISP_WD","R_MED_RDLDDEL"
"DIFFN_SEV","DIFFN_MOT_SEV"
"DIFFN_SEV","DIFFN_M_SEV_DIST"
"DIFFN_SEV","R_DIFFN_APB_MALOSS"
"DIFFN_SEV","DIFFN_M_SEV_PROX"
"DIFFN_SENS_SEV","DIFFN_SEV"
"DIFFN_SENS_SEV","DIFFN_S_SEV_DIST"
"DIFFN_SENS_SEV","L_DIFFN_ISCH_SALOSS"
"DIFFN_S_SEV_DIST","R_DIFFN_ULND5_SALOSS"
"DIFFN_S_SEV_DIST","R_DIFFN_LNLW_ULND5_SALOSS"
"DIFFN_S_SEV_DIST","R_DIFFN_ISCH_SALOSS"
"DIFFN_S_SEV_DIST","R_DIFFN_LNL_ISCH_SALOSS"
"DIFFN_S_SEV_DIST","L_DIFFN_MEDD2_SALOSS"
"DIFFN_S_SEV_DIST","L_DIFFN_ULND5_SALOSS"
"DIFFN_S_SEV_DIST","L_DIFFN_LNLW_ULND5_SALOSS"
"DIFFN_S_SEV_DIST","L_DIFFN_LNL_ISCH_SALOSS"
"R_DIFFN_LNLW_MEDD2_DISP_WD","R_MEDD2_DISP_EWD"
"R_MEDD2_DISP_WD","R_DIFFN_LNLW_MEDD2_DISP_WD"
"R_MEDD2_DISP_EW","R_DIFFN_MEDD2_DISP"
"R_LNLW_MEDD2_SALOSS_WD","R_LNLW_MEDD2_DISP_WD"
"R_LNLW_MEDD2_SALOSS_WD","R_MEDD2_SALOSS"
"R_DIFFN_MEDD2_SALOSS","DIFFN_SENS_SEV"
