"V1","V2"
"AppOK","DataFile"
"AppOK","PrtStatToner"
"AppData","AppOK"
"AppData","DataFile"
"AppData","EMFOK"
"AppData","GDIIN"
"AppData","DS_LCLOK"
"DskLocal","EMFOK"
"DskLocal","DrvSet"
"PrtSpool","GDIIN"
"PrtOn","Problem1"
"PrtOn","PrtStatOff"
"PrtPaper","PrtStatPaper"
"NetPrint","PC2PRT"
"NetPrint","GrbldOtpt"
"NetPrint","Problem2"
"PrtDriver","GDIOUT"
"PrtDriver","LclGrbld"
"PrtDriver","NtGrbld"
"EMFOK","GDIIN"
"GDIIN","GDIOUT"
"DrvOK","GDIOUT"
"DrvOK","PrtStatMem"
"GDIOUT","PrtSel"
"GDIOUT","PrtDataOut"
"PrtDataOut","PrtSel"
"PrtDataOut","PC2PRT"
"PrtDataOut","PrtFile"
"PrtPath","NetOK"
"NtwrkCnfg","NetOK"
"NtwrkCnfg","NtGrbld"
"NtwrkCnfg","REPEAT"
"NtwrkCnfg","PrtIcon"
"NtwrkCnfg","NtSpd"
"PTROFFLINE","NetOK"
"PTROFFLINE","DS_NTOK"
"PTROFFLINE","PrtIcon"
"NetOK","DS_NTOK"
"PrtCbl","LclOK"
"PrtCbl","DS_LCLOK"
"PrtPort","LclOK"
"PrtPort","DS_LCLOK"
"CblPrtHrdwrOK","LclOK"
"CblPrtHrdwrOK","DS_LCLOK"
"CblPrtHrdwrOK","LclGrbld"
"CblPrtHrdwrOK","REPEAT"
"LclOK","PC2PRT"
"DSApplctn","PC2PRT"
"PrtMpTPth","DS_NTOK"
"DS_NTOK","PC2PRT"
"PrtMem","DeskPrntSpd"
"PrtMem","CmpltPgPrntd"
"PrtMem","NnPSGrphc"
"PrtMem","PSGRAPHIC"
"PrtMem","TTOK"
"PrtMem","NnTTOK"
"PrtMem","LclGrbld"
"PrtMem","NtGrbld"
"PrtMem","PrtStatMem"
"TnrSpply","GrphcsRltdDrvrSttngs"
"TnrSpply","PrtStatToner"
"PrtData","PrtPaper"
"PrtData","NetPrint"
"PrtData","DrvOK"
"PrtData","PrtDataOut"
"PrtData","PrtCbl"
"PrtData","DSApplctn"
"PrtData","PrtTimeOut"
"PrtData","FllCrrptdBffr"
"Problem1","DskLocal"
"Problem1","PrtDriver"
"Problem1","PTROFFLINE"
"Problem1","PrtPort"
"Problem1","CblPrtHrdwrOK"
"Problem1","PrtMem"
"Problem1","TnrSpply"
"Problem1","PrtData"
"AppDtGnTm","PrtSpool"
"AppDtGnTm","DeskPrntSpd"
"AppDtGnTm","HrglssDrtnAftrPrnt"
"PrntPrcssTm","PrtSpool"
"PrntPrcssTm","DeskPrntSpd"
"DeskPrntSpd","NtSpd"
"DeskPrntSpd","Problem2"
"PgOrnttnOK","CmpltPgPrntd"
"PrntngArOK","CmpltPgPrntd"
"PrntngArOK","TstpsTxt"
"ScrnFntNtPrntrFnt","NnTTOK"
"CmpltPgPrntd","Problem3"
"GrphcsRltdDrvrSttngs","NnPSGrphc"
"GrphcsRltdDrvrSttngs","PSGRAPHIC"
"EPSGrphc","NnPSGrphc"
"EPSGrphc","REPEAT"
"NnPSGrphc","Problem4"
"PrtPScript","Problem4"
"PSGRAPHIC","Problem4"
"TrTypFnts","Problem5"
"FntInstlltn","NnTTOK"
"PrntrAccptsTrtyp","TTOK"
"TTOK","FntInstlltn"
"TTOK","Problem5"
"NnTTOK","Problem5"
"LclGrbld","AppData"
"LclGrbld","NtGrbld"
"LclGrbld","GrbldOtpt"
"NtGrbld","GrbldOtpt"
"GrbldOtpt","Problem6"
"AvlblVrtlMmry","PSERRMEM"
"AvlblVrtlMmry","TstpsTxt"
"TstpsTxt","PrtPScript"
"Problem6","AvlblVrtlMmry"
"Problem6","GrbldPS"
"Problem3","IncmpltPS"
"PrtQueue","NtSpd"
"NtSpd","Problem2"
"PrtStatToner","PgOrnttnOK"
