"V1","V2"
"PrtOn","Problem1"
"PrtOn","PrtStatOff"
"PrtDriver","GDIOUT"
"PrtDriver","LclGrbld"
"PrtDriver","NtGrbld"
"EMFOK","DskLocal"
"EMFOK","GDIOUT"
"GDIIN","DskLocal"
"GDIIN","EMFOK"
"GDIIN","GDIOUT"
"DrvOK","GDIOUT"
"GDIOUT","PrtDataOut"
"GDIOUT","PC2PRT"
"GDIOUT","LclGrbld"
"GDIOUT","PrtFile"
"PrtSel","PrtDataOut"
"PrtDataOut","PC2PRT"
"PrtDataOut","PrtFile"
"PTROFFLINE","NetOK"
"PTROFFLINE","DS_NTOK"
"NetOK","DS_NTOK"
"NetOK","PC2PRT"
"PrtPort","LclOK"
"CblPrtHrdwrOK","LclOK"
"CblPrtHrdwrOK","LclGrbld"
"LclOK","PrtCbl"
"LclOK","DS_LCLOK"
"LclOK","PC2PRT"
"DS_NTOK","PrtMpTPth"
"DS_LCLOK","PrtCbl"
"DS_LCLOK","PC2PRT"
"PC2PRT","NetPrint"
"PC2PRT","Problem1"
"FllCrrptdBffr","Problem1"
"Problem1","PrtData"
"ScrnFntNtPrntrFnt","NnTTOK"
"CmpltPgPrntd","PrtMem"
"CmpltPgPrntd","DeskPrntSpd"
"CmpltPgPrntd","PgOrnttnOK"
"CmpltPgPrntd","IncmpltPS"
"CmpltPgPrntd","Problem3"
"CmpltPgPrntd","NtSpd"
"CmpltPgPrntd","Problem2"
"CmpltPgPrntd","PrtStatMem"
"NnPSGrphc","PrtMem"
"NnPSGrphc","DeskPrntSpd"
"NnPSGrphc","CmpltPgPrntd"
"NnPSGrphc","GrphcsRltdDrvrSttngs"
"NnPSGrphc","PSGRAPHIC"
"NnPSGrphc","NtSpd"
"NnPSGrphc","Problem2"
"NnPSGrphc","PrtStatMem"
"PSGRAPHIC","PrtMem"
"PSGRAPHIC","DeskPrntSpd"
"PSGRAPHIC","CmpltPgPrntd"
"PSGRAPHIC","GrphcsRltdDrvrSttngs"
"PSGRAPHIC","NnTTOK"
"PSGRAPHIC","LclGrbld"
"PSGRAPHIC","NtGrbld"
"PSGRAPHIC","NtSpd"
"PSGRAPHIC","Problem2"
"PSGRAPHIC","PrtStatMem"
"Problem4","PrtMem"
"Problem4","DeskPrntSpd"
"Problem4","CmpltPgPrntd"
"Problem4","GrphcsRltdDrvrSttngs"
"Problem4","NnPSGrphc"
"Problem4","PSGRAPHIC"
"Problem4","LclGrbld"
"Problem4","NtSpd"
"Problem4","Problem2"
"Problem4","PrtStatMem"
"FntInstlltn","TTOK"
"FntInstlltn","NnTTOK"
"PrntrAccptsTrtyp","TTOK"
"TTOK","Problem5"
"LclGrbld","PrtMem"
"LclGrbld","Problem1"
"LclGrbld","DeskPrntSpd"
"LclGrbld","NtGrbld"
"LclGrbld","GrbldOtpt"
"LclGrbld","GrbldPS"
"LclGrbld","Problem6"
"LclGrbld","Problem2"
"LclGrbld","PrtStatMem"
"NtGrbld","PrtMem"
"NtGrbld","DeskPrntSpd"
"NtGrbld","GrbldOtpt"
"NtGrbld","GrbldPS"
"NtGrbld","Problem6"
"NtGrbld","NtSpd"
"NtGrbld","Problem2"
"NtGrbld","PrtStatMem"
"REPEAT","NtwrkCnfg"
"PSERRMEM","PrtPScript"
"PSERRMEM","AvlblVrtlMmry"
"PSERRMEM","TstpsTxt"
"PSERRMEM","GrbldPS"
"PSERRMEM","IncmpltPS"
"PSERRMEM","Problem6"
"IncmpltPS","PgOrnttnOK"
"IncmpltPS","Problem3"
"PrtIcon","PTROFFLINE"
"PrtIcon","NetOK"
"Problem3","PgOrnttnOK"
"PrtQueue","NtSpd"
"PrtStatPaper","PrtPaper"
"PrtStatToner","TnrSpply"
