dataset,shd_sparsebn,time_sparsebn,shd_bidag,time_bidag,shd_brave,time_brave
alarm,99,1345.3176,90,3.370051,39,1.19513
andes,692,2150.5218,669,171.48,273,68.26017
barley,163,5242.2984,133,5.230051,106,1.943665743
child,46,263.534816,46,2.285925,41,0.563999176
diabetes,1311,0,1081,871.2612,974,430.4124899
hailfinder,130,1328.2272,130,350.45382,85,1.569061518
hepar2,261,1905.402,206,16.58553,120,2.5911459
mildew,92,5332.536,76,128.15604,54,0.591509581
pigs,1300,8630.3592,1171,11124.936,979,465.4204197
win95pts,216,993.6678,224,13.75046,144,3.549545288
arth150,298,3.06,391,2021.82,241,12.7
ecoli70,137,0.94,140,5.547351,128,7.0433
magic-irri,205,1.25,207,21.68742,144,5.4123
magic-niab,132,0.898,128,6.791835,104,5.8127
